pond_id,week_index,culture_type,age_days,avg_weight_g,shrimp_count,biomass_kg,temperature_c,ph,salinity_ppt,do_mg_l,do_min_mg_l,nh3_mg_l,tan_mg_l,seaweed_biomass_kg,feed_input_kg,feeding_rate_actual,shrimp_seaweed_ratio,buffer_index,oxygen_stress,thermal_stress,weekly_growth_g
P01,10,IMTA,32,5.959531641973595,85654,510.458,28.53,7.41,30.613,5.565,4.874,0.0466,0.0555,75.45,123.632,0.2422,6.76548,8823.825,0,0,0.6063
P01,11,IMTA,33,5.914262141861336,86525,511.732,29.955,7.41,29.538,6.223,5.967,0.01,0.2461,78.563,86.714,0.16945,6.51363,44443.085,0,0,0.32
P01,12,IMTA,34,5.8186934838660616,70748,411.661,27.13,7.41,30.821,6.823,6.284,0.0264,0.0956,81.775,89.698,0.21789,5.03405,20349.821,0,0,0.3452
P01,13,IMTA,35,5.818598559058188,70898,412.527,30.529,7.41,31.429,6.27,5.817,0.0212,0.168,85.084,143.724,0.3484,4.8485,24062.722,0,0,0.4302
P01,14,IMTA,36,6.633938997998998,71889,476.907,31.0,7.497,30.781,6.23,5.338,0.0379,0.379,88.485,93.053,0.19512,5.38972,14173.694,0,0,0.348
P01,15,IMTA,37,6.535831698672261,76206,498.07,27.545,7.72,31.6,6.044,5.659,0.0237,0.3274,91.974,171.378,0.34408,5.41532,22491.51,0,0,0.4485
P01,16,IMTA,38,6.280461908267812,81622,512.624,29.174,7.524,31.6,6.152,5.459,0.0635,0.088,95.548,158.332,0.30887,5.36511,9107.29,0,0,0.5244
P01,17,IMTA,39,6.569035295779875,88496,581.333,27.601,7.478,30.555,5.985,5.184,0.0309,0.3676,99.2,149.165,0.25659,5.86022,18601.007,0,0,0.4837
P01,18,IMTA,40,6.8289012508975855,85695,585.203,27.928,7.487,30.995,7.0,5.937,0.0454,0.4738,102.924,95.341,0.16292,5.68575,15530.57,0,0,0.4301
P01,19,IMTA,41,6.508238688652252,87349,568.488,28.51,7.41,30.753,5.691,5.349,0.0602,0.1862,106.715,109.176,0.19205,5.32716,9930.196,0,0,0.3941
P01,20,IMTA,42,7.194334394015436,72877,524.302,27.912,7.748,31.6,5.647,5.257,0.0328,0.1105,110.565,91.628,0.17476,4.74204,18457.411,0,0,0.483
P01,21,IMTA,43,7.212939102099801,77872,561.686,29.214,7.41,30.707,6.009,5.439,0.0625,0.0617,114.465,138.147,0.24595,4.90704,10839.232,0,0,0.5221
P01,22,IMTA,44,6.971897132004146,80475,561.063,28.419,7.521,30.794,6.953,5.981,0.0379,0.1715,118.409,176.75,0.31503,4.73834,21170.034,0,0,0.5487
P01,23,IMTA,45,7.34912793298351,85579,628.931,30.044,7.41,31.426,6.297,6.13,0.0594,0.4095,122.388,158.852,0.25257,5.13882,12760.605,0,0,0.5566
P01,24,IMTA,46,7.1165346487709655,74651,531.256,31.0,7.41,30.708,6.186,5.597,0.0414,0.0943,126.393,115.252,0.21694,4.2032,18462.174,0,0,0.5276
P01,25,IMTA,47,7.734748289684575,86971,672.699,29.312,7.41,30.647,6.636,5.961,0.0508,0.2197,130.416,207.812,0.30892,5.15812,16695.099,0,0,0.5496
P01,26,IMTA,48,8.2051615394117,71901,589.959,29.485,7.41,31.464,5.644,4.91,0.0572,0.3348,134.446,93.062,0.15774,4.38808,13049.765,0,0,0.4714
P01,27,IMTA,49,7.707214930650855,81801,630.458,29.304,7.41,30.534,6.72,6.029,0.0283,0.4307,138.475,169.842,0.26939,4.55287,31791.676,0,0,0.5436
P01,28,IMTA,50,8.147726580698338,88624,722.084,30.957,7.565,29.44,6.237,5.716,0.056,0.366,142.494,118.849,0.16459,5.06748,15601.581,0,0,0.7202
P01,29,IMTA,51,8.088117829939911,77283,625.074,29.893,7.6,30.501,6.441,5.621,0.0296,0.4509,146.493,108.199,0.1731,4.26691,30792.826,0,0,0.6479
P01,30,IMTA,52,8.582240147609248,77527,665.355,30.747,7.41,30.777,6.708,6.431,0.0463,0.4712,150.465,193.439,0.29073,4.42201,21316.839,0,0,0.7001
P01,31,IMTA,53,8.062088196473464,86507,697.427,30.144,7.77,30.727,5.314,4.333,0.0443,0.258,154.399,164.799,0.2363,4.51705,18094.533,0,0,0.5803
P01,32,IMTA,54,8.534560358014671,72128,615.581,29.989,7.552,31.024,5.55,5.357,0.075,0.3656,158.288,97.873,0.15899,3.88899,11567.554,0,0,0.6745
P01,33,IMTA,55,8.832379760506019,70108,619.22,30.111,7.41,30.743,6.194,5.448,0.0109,0.439,162.124,165.483,0.26724,3.81943,84439.884,0,0,0.575
P01,34,IMTA,56,8.557636208298218,70803,605.906,27.391,7.41,30.435,6.415,6.001,0.075,0.3842,165.899,100.722,0.16623,3.65226,13996.928,0,0,0.6714
P01,35,IMTA,57,8.52945462115574,89604,764.273,31.0,7.487,30.337,5.878,5.822,0.0648,0.1064,169.607,115.745,0.15145,4.50615,15152.528,0,0,0.6108
P01,36,IMTA,58,8.952688914765899,85681,767.075,30.037,7.454,29.724,6.487,6.168,0.0447,0.1349,173.24,199.598,0.26021,4.42781,24598.868,0,0,0.7327
P01,37,IMTA,59,9.612753140031575,78080,750.564,31.0,7.422,29.942,6.542,6.142,0.0487,0.3657,176.794,123.87,0.16504,4.24541,23287.987,0,0,0.731
P01,38,IMTA,60,8.970653971752599,81766,733.494,29.611,7.634,30.332,6.249,5.757,0.0254,0.1998,180.263,108.244,0.14757,4.06903,42651.198,0,0,0.7049
P01,39,IMTA,61,9.64096288318359,85748,826.693,31.0,7.639,30.26,6.255,5.877,0.0333,0.3234,183.642,190.634,0.2306,4.50166,33490.256,0,0,0.7478
P01,40,IMTA,62,9.287115702703558,76289,708.505,31.0,7.507,31.6,6.152,5.478,0.072,0.2472,186.927,172.712,0.24377,3.79028,15755.834,0,0,0.7986
P01,41,IMTA,63,9.127297001219,70293,641.585,30.295,7.636,31.08,6.001,5.365,0.0674,0.1008,190.115,205.227,0.31988,3.37472,16676.061,0,0,0.8631
P01,42,IMTA,64,9.35976041175139,83753,783.908,30.605,7.41,29.927,4.93,4.593,0.0329,0.4969,193.204,173.594,0.22145,4.05742,28115.086,0,0,0.7822
P01,43,IMTA,65,10.208946084080058,86781,885.943,29.278,7.592,31.066,6.383,6.089,0.0525,0.4573,196.19,150.376,0.16974,4.51573,23416.718,0,0,0.9031
P01,44,IMTA,66,9.608560231954872,70892,681.17,28.796,7.691,30.935,6.219,5.249,0.0806,0.0869,199.074,137.142,0.20133,3.4217,15177.677,0,0,0.7591
P01,45,IMTA,67,10.175847060154986,85258,867.572,30.947,7.41,30.368,5.441,5.189,0.0616,0.3184,201.853,188.253,0.21699,4.29805,17539.896,0,0,0.8714
P01,46,IMTA,68,9.93888205309973,87005,864.732,30.291,7.531,31.197,6.234,5.124,0.055,0.286,204.527,211.645,0.24475,4.22796,22781.079,0,0,0.7869
P01,47,IMTA,69,10.51210698020745,88549,930.837,28.193,7.463,31.06,6.136,5.866,0.01,0.1554,207.097,190.433,0.20458,4.4947,115523.276,0,0,0.7358
P01,48,IMTA,70,9.897519508550031,88066,871.635,29.303,7.513,30.299,6.192,6.128,0.0689,0.2908,209.562,298.338,0.34227,4.15932,18558.505,0,0,0.8238
P01,49,IMTA,71,11.080324712703277,75764,839.49,27.945,7.58,31.6,5.645,5.396,0.0868,0.3651,211.924,249.745,0.2975,3.96127,13630.544,0,0,0.842
P01,50,IMTA,72,11.06861180423531,85873,950.495,27.161,7.41,30.592,5.907,5.164,0.0409,0.2731,214.184,243.942,0.25665,4.43774,30178.464,0,0,0.8364
P01,51,IMTA,73,10.673350273923157,85474,912.294,30.126,7.588,31.13,5.441,4.78,0.0651,0.0884,216.344,269.383,0.29528,4.21686,17820.087,0,0,0.9424
P01,52,IMTA,74,10.897090419445949,78027,850.267,29.721,7.41,31.6,5.939,5.43,0.0104,0.2675,218.406,238.958,0.28104,3.89306,114102.631,0,0,0.8246
P01,53,IMTA,75,11.26989028561912,73751,831.166,27.0,7.714,31.6,5.953,5.872,0.0789,0.1831,220.371,176.045,0.2118,3.77166,16415.179,0,0,0.8066
P01,54,IMTA,76,11.291097675744325,81904,924.786,30.34,7.77,30.96,5.981,5.523,0.0641,0.3293,222.243,307.226,0.33221,4.16116,20426.445,0,0,1.0681
P01,55,IMTA,77,10.95200933770756,78407,858.714,29.159,7.723,30.173,6.35,5.755,0.0355,0.2366,224.023,255.821,0.29791,3.83315,39016.033,0,0,0.8674
P01,56,IMTA,78,11.32153129399088,83068,940.457,28.932,7.461,29.801,5.469,4.825,0.0553,0.2807,225.715,179.334,0.19069,4.16657,21943.081,0,0,1.0137
P01,57,IMTA,79,11.516148131764009,83491,961.495,29.867,7.77,31.113,6.271,5.821,0.0876,0.2163,227.321,172.0,0.17889,4.22968,16093.0,0,0,1.0237
P01,58,IMTA,80,11.169910996903464,70821,791.064,31.0,7.41,30.592,6.241,5.815,0.0162,0.0619,228.844,121.635,0.15376,3.45678,82845.246,0,0,0.9012
P01,59,IMTA,81,11.8196159710673,76041,898.775,29.123,7.64,30.703,5.703,5.22,0.0246,0.0674,230.288,204.461,0.22749,3.90283,51381.53,0,0,0.9889
P01,60,IMTA,82,11.975955265769167,86824,1039.8,30.343,7.41,30.846,6.031,5.896,0.0704,0.1701,231.656,215.99,0.20772,4.48856,19555.736,0,0,0.8317
P01,61,IMTA,83,12.26218470471603,73009,895.25,27.371,7.41,31.6,6.229,5.498,0.0649,0.0566,232.949,151.318,0.16902,3.84311,22009.295,0,0,1.0384
P01,62,IMTA,84,12.2747587052518,86988,1067.757,29.609,7.59,31.352,5.468,5.293,0.0552,0.141,234.173,340.836,0.31921,4.5597,22776.095,0,0,1.1631
P01,63,IMTA,85,12.144787400547719,77230,937.942,30.093,7.418,30.303,6.12,5.71,0.0868,0.2343,235.328,194.026,0.20686,3.98567,16409.004,0,0,1.0848
P01,64,IMTA,86,12.180039760589995,73309,892.907,29.993,7.66,31.246,6.412,5.721,0.01,0.0467,236.42,257.781,0.2887,3.77679,137802.575,0,0,1.1776
P01,65,IMTA,87,12.61220072204585,89835,1133.017,31.0,7.512,31.6,6.12,5.56,0.0486,0.2811,237.449,162.567,0.14348,4.77161,29309.996,0,0,1.1996
P01,66,IMTA,88,12.877805453636883,81891,1054.576,30.604,7.475,31.007,6.133,5.694,0.012,0.2673,238.421,294.607,0.27936,4.42317,112126.114,0,0,0.9452
P01,67,IMTA,89,13.196832777901266,83552,1102.622,29.229,7.622,31.507,6.526,6.014,0.0397,0.2956,239.336,285.642,0.25906,4.607,38382.013,0,0,1.0845
P01,68,IMTA,90,12.8995018549677,87793,1132.486,27.712,7.426,30.988,6.035,5.708,0.0155,0.2428,240.199,320.881,0.28334,4.71479,87714.116,0,0,1.1211
P01,69,IMTA,91,13.428547457232126,80340,1078.85,27.854,7.41,31.6,5.651,5.516,0.0383,0.3915,241.011,316.684,0.29354,4.47635,34632.491,0,0,1.1486
P01,70,IMTA,92,13.726265053516117,70462,967.18,31.0,7.41,30.619,5.814,5.583,0.0675,0.0694,241.775,212.006,0.2192,4.00033,20526.034,0,0,1.2654
P01,71,IMTA,93,13.602150339973027,79352,1079.358,29.269,7.493,31.079,7.0,6.245,0.0828,0.2147,242.494,236.61,0.21921,4.45106,20248.727,0,0,1.1634
P01,72,IMTA,94,13.326623458856929,86293,1149.994,29.414,7.524,31.116,5.341,4.641,0.0683,0.1158,243.171,209.803,0.18244,4.72916,18745.983,0,0,1.0483
P01,73,IMTA,95,13.621920176767672,72213,983.68,28.844,7.41,30.825,6.227,6.03,0.0476,0.4597,243.807,198.607,0.2019,4.03467,31213.021,0,0,1.1561
P01,74,IMTA,96,13.124575038960087,81057,1063.839,29.357,7.507,31.439,5.671,5.523,0.0324,0.0574,244.404,337.894,0.31762,4.35279,41551.671,0,0,1.1046
P01,75,IMTA,97,13.972422926330001,77425,1081.815,28.641,7.413,30.878,5.991,5.176,0.0317,0.3047,244.965,324.115,0.2996,4.4162,44903.406,0,0,1.179
P01,76,IMTA,98,14.0,78271,1095.794,31.0,7.41,31.6,6.025,5.909,0.0224,0.1669,245.492,209.849,0.1915,4.46366,63323.415,0,0,1.2751
P01,77,IMTA,22,4.5,85547,384.962,30.96,7.688,31.18,6.661,6.5,0.079,0.1223,50.0,93.556,0.24303,7.69923,4161.07,0,0,0.2483
P01,78,IMTA,23,4.5,82223,370.003,29.954,7.439,30.9,6.118,5.484,0.0211,0.2792,52.085,71.473,0.19317,7.10382,14427.904,0,0,0.3421
P01,79,IMTA,24,4.845721434096262,89772,435.01,30.566,7.505,31.401,6.312,5.452,0.023,0.2053,54.269,128.649,0.29574,8.0158,14284.986,0,0,0.1579
P01,80,IMTA,25,5.279218599624652,85872,453.337,30.006,7.545,30.136,5.831,4.92,0.0681,0.3831,56.554,151.412,0.33399,8.01602,4774.368,0,0,0.2289
P01,81,IMTA,26,5.055780504601541,82645,417.835,29.246,7.468,30.012,6.013,5.736,0.0202,0.1929,58.941,139.385,0.33359,7.08905,16729.201,0,0,0.2363
P01,82,IMTA,27,5.218596612926566,83561,436.071,27.986,7.639,30.599,5.549,4.916,0.0222,0.4024,61.431,64.736,0.14845,7.0985,14706.281,0,0,0.2189
P01,83,IMTA,28,5.441705717946061,81236,442.062,29.842,7.428,30.556,6.464,5.52,0.0403,0.2066,64.026,109.135,0.24688,6.90438,10032.549,0,0,0.3479
P01,84,IMTA,29,5.5640620409074515,83110,462.429,30.509,7.465,30.404,5.95,5.26,0.0614,0.0748,66.726,66.66,0.14415,6.93027,6362.374,0,0,0.2578
P01,85,IMTA,30,5.584968840298176,75670,422.615,31.0,7.41,29.832,5.698,5.504,0.0191,0.0827,69.53,139.957,0.33117,6.07813,19716.688,0,0,0.392
P01,86,IMTA,31,5.499909730650775,77993,428.954,30.228,7.41,30.629,5.244,4.733,0.0861,0.2743,72.439,62.146,0.14488,5.92161,4361.383,0,0,0.3309
P01,87,IMTA,32,5.559419135493087,82644,459.453,29.393,7.621,30.51,6.438,5.735,0.0472,0.1735,75.45,87.886,0.19128,6.08947,10080.522,0,0,0.3416
P01,88,IMTA,33,5.91246060349682,74804,442.276,30.128,7.41,31.124,5.619,5.18,0.0445,0.3493,78.563,88.79,0.20076,5.62955,9698.497,0,0,0.4065
P01,89,IMTA,34,6.361281489231634,85950,546.752,29.996,7.451,31.6,5.933,5.093,0.0349,0.0857,81.775,92.428,0.16905,6.68604,13518.187,0,0,0.4
P01,90,IMTA,35,6.1859381201004116,89616,554.359,27.888,7.439,29.871,5.75,5.182,0.0826,0.222,85.084,93.675,0.16898,6.51547,5850.244,0,0,0.4552
P01,91,IMTA,36,6.448733063228907,80015,515.995,29.478,7.49,30.602,5.556,5.519,0.0522,0.1069,88.485,142.964,0.27706,5.83148,9245.944,0,0,0.3879
P01,92,IMTA,37,6.1006655813632396,83445,509.07,31.0,7.71,31.159,6.505,5.632,0.0121,0.2209,91.974,155.453,0.30537,5.53492,45624.456,0,0,0.3408
P01,93,IMTA,38,6.7834201196891755,87581,594.099,28.32,7.668,31.372,6.711,6.292,0.0195,0.2779,95.548,102.328,0.17224,6.21782,31257.644,0,0,0.4895
P01,94,IMTA,39,6.564025972455665,73360,481.537,28.058,7.541,30.856,5.816,5.386,0.0739,0.055,99.2,154.462,0.32077,4.85421,7707.578,0,0,0.4033
P01,95,IMTA,40,7.179698750762465,85005,610.31,29.039,7.41,31.6,6.05,5.163,0.0483,0.1582,102.924,132.596,0.21726,5.92969,12621.121,0,0,0.3399
P01,96,IMTA,41,6.943161315858032,89807,623.544,28.66,7.476,31.28,6.305,5.92,0.0399,0.124,106.715,172.874,0.27724,5.84308,16458.213,0,0,0.5494
P01,97,IMTA,42,6.753710491922293,84694,571.999,29.544,7.474,31.6,5.135,5.061,0.0311,0.1366,110.565,146.255,0.25569,5.17344,17673.043,0,0,0.6891
P01,98,IMTA,43,6.934506385422435,86532,600.057,31.0,7.412,30.629,5.656,5.583,0.0686,0.1401,114.465,132.569,0.22093,5.24226,9297.427,0,0,0.5454
P01,99,IMTA,44,7.40324134511865,82925,613.914,29.959,7.41,31.381,5.796,5.106,0.0796,0.0336,118.409,200.722,0.32696,5.18467,8518.31,0,0,0.6503
P01,100,IMTA,45,7.04436471667708,71983,507.075,30.757,7.435,31.317,6.889,5.801,0.0251,0.1266,122.388,116.006,0.22877,4.14316,32270.612,0,0,0.5721
P01,101,IMTA,46,7.453510830703488,74107,552.357,29.256,7.41,30.438,5.831,5.595,0.0568,0.1675,126.393,185.167,0.33523,4.37015,12741.557,0,0,0.3583
P01,102,IMTA,47,7.399775751173856,89933,665.484,27.531,7.41,29.465,5.637,4.74,0.0501,0.3932,130.416,149.245,0.22427,5.1028,14391.962,0,0,0.6216
P01,103,IMTA,48,7.831752467197329,77614,607.854,28.615,7.557,31.203,5.896,5.733,0.0857,0.2426,134.446,159.743,0.2628,4.52118,9145.666,0,0,0.5858
P01,104,IMTA,49,7.771962655385758,82662,642.446,30.166,7.566,31.6,6.626,6.427,0.0425,0.1787,138.475,215.787,0.33588,4.63944,21083.561,0,0,0.5806
P01,105,IMTA,50,8.434912010482753,77571,654.305,27.286,7.618,31.6,5.797,5.206,0.0357,0.2471,142.494,114.42,0.17487,4.59181,22532.656,0,0,0.6887
P01,106,IMTA,51,8.509241413479412,83378,709.484,29.526,7.592,30.578,6.096,5.63,0.0558,0.4433,146.493,240.202,0.33856,4.84311,15723.989,0,0,0.5973
P01,107,IMTA,52,7.746474351283678,87042,674.269,29.899,7.41,30.868,5.876,4.89,0.0675,0.2185,150.465,160.347,0.23781,4.48125,12910.709,0,0,0.6292
P01,108,IMTA,53,8.43941010523029,79931,674.57,29.733,7.41,30.839,6.917,6.17,0.07,0.1288,154.399,231.201,0.34274,4.36901,15043.491,0,0,0.5272
P01,109,IMTA,54,8.250895343499403,89642,739.627,28.5,7.41,30.258,6.137,6.012,0.0532,0.3693,158.288,169.556,0.22925,4.67267,17938.801,0,0,0.4448
P01,110,IMTA,55,8.25373613021814,80409,663.675,28.925,7.41,31.35,5.846,5.224,0.01,0.1872,162.124,189.099,0.28493,4.09363,86154.844,0,0,0.6067
P01,111,IMTA,56,8.280502808508523,73769,610.844,28.637,7.47,29.889,6.207,5.417,0.0192,0.224,165.899,97.937,0.16033,3.68202,51053.976,0,0,0.7404
P01,112,IMTA,57,8.984747757347224,78621,706.39,29.76,7.535,31.6,6.303,5.606,0.0423,0.4183,169.607,178.198,0.25227,4.16487,24676.428,0,0,0.6181
P01,113,IMTA,58,9.180466286944307,72350,664.207,31.0,7.522,30.402,6.482,6.015,0.075,0.0659,173.24,209.417,0.31529,3.83402,14775.886,0,0,0.7439
P01,114,IMTA,59,9.219236946423843,73787,680.26,28.886,7.41,30.601,6.014,5.627,0.0329,0.0754,176.794,233.001,0.34252,3.84775,31408.225,0,0,0.8197
P01,115,IMTA,60,9.294315341737214,80913,752.031,31.0,7.617,29.919,6.447,5.826,0.0717,0.363,180.263,247.248,0.32877,4.17186,15994.338,0,0,0.8422
P01,116,IMTA,61,9.146044130675891,85597,782.874,31.0,7.41,30.658,6.05,6.024,0.0142,0.1663,183.642,262.61,0.33544,4.26305,73115.617,0,0,0.8508
P01,117,IMTA,62,9.419003806125893,74727,703.854,28.661,7.543,29.699,6.861,6.18,0.0862,0.2939,186.927,121.243,0.17226,3.7654,14710.758,0,0,0.7177
P01,118,IMTA,63,9.940234330890746,87282,867.604,28.61,7.577,31.012,6.376,5.879,0.0574,0.1353,190.115,184.851,0.21306,4.56357,20749.159,0,0,0.7089
P01,119,IMTA,64,9.522139094215678,83063,790.937,31.0,7.622,31.453,6.127,5.692,0.0337,0.2274,193.204,182.943,0.2313,4.0938,34153.627,0,0,0.8462
P01,120,IMTA,65,9.136095293913733,78733,719.312,30.28,7.585,30.687,5.744,5.504,0.0487,0.2447,196.19,174.159,0.24212,3.6664,22694.75,0,0,0.866
P01,121,IMTA,66,9.85169495378241,87935,866.309,28.496,7.527,29.996,6.691,6.234,0.0455,0.0697,199.074,132.259,0.15267,4.3517,28632.981,0,0,0.8413
P01,122,IMTA,67,9.943847237120568,83437,829.685,29.252,7.414,31.6,6.07,4.88,0.061,0.2797,201.853,180.781,0.21789,4.11035,19760.997,0,0,0.8494
P01,123,IMTA,68,9.684896310665536,82536,799.353,30.731,7.48,30.06,5.571,5.5,0.0239,0.294,204.527,262.095,0.32788,3.9083,45788.366,0,0,0.8094
P01,124,IMTA,69,10.172628420276808,84163,856.159,31.0,7.41,30.613,6.798,6.163,0.0688,0.2951,207.097,184.171,0.21511,4.1341,20156.871,0,0,0.7364
P01,125,IMTA,70,10.212478626461909,85644,874.638,29.839,7.5,30.473,6.107,5.793,0.0465,0.2718,209.562,272.157,0.31117,4.17364,26946.715,0,0,0.7619
P01,126,IMTA,71,10.658086626600667,76276,812.956,28.629,7.41,31.6,6.248,5.811,0.0681,0.1786,211.924,136.16,0.16749,3.83607,19149.472,0,0,0.9087
P01,127,IMTA,72,10.062580995092356,89976,905.391,30.606,7.41,29.816,6.2,5.914,0.0774,0.2568,214.184,295.93,0.32685,4.22715,16942.935,0,0,0.8552
P01,128,IMTA,73,10.58379297588474,81043,857.742,28.821,7.635,31.593,6.047,5.907,0.0535,0.2325,216.344,139.656,0.16282,3.96471,24026.593,0,0,0.8156
P01,129,IMTA,74,10.940835293837026,82125,898.516,30.408,7.41,30.28,6.722,6.3,0.0294,0.1606,218.406,190.822,0.21237,4.11398,48220.33,0,0,0.8431
P01,130,IMTA,75,11.31788331494048,73838,835.69,30.14,7.533,29.887,5.826,5.5,0.0625,0.2309,220.371,259.496,0.31052,3.79219,20216.1,0,0,0.9085
P01,131,IMTA,76,10.85322542480044,78599,853.053,28.865,7.494,30.35,5.657,5.439,0.0292,0.1796,222.243,164.756,0.19314,3.83839,41673.423,0,0,0.9066
P01,132,IMTA,77,11.336743530948446,74159,840.722,29.857,7.472,29.957,5.611,5.102,0.0111,0.3271,224.023,260.697,0.31009,3.75284,103949.635,0,0,0.888
P01,133,IMTA,78,11.31760570146609,82845,937.607,29.233,7.41,29.407,6.493,6.288,0.0769,0.2049,225.715,324.813,0.34643,4.15395,18801.659,0,0,0.9849
P01,134,IMTA,79,11.964530273966815,73707,881.87,29.829,7.509,31.6,5.689,5.205,0.024,0.0768,227.321,177.062,0.20078,3.8794,51632.189,0,0,0.9857
P01,135,IMTA,80,11.305753340168481,74493,842.199,29.1,7.416,31.032,6.015,5.527,0.0402,0.1097,228.844,188.51,0.22383,3.68023,33437.568,0,0,0.9148
P01,136,IMTA,81,12.144460838936295,71010,862.378,30.175,7.481,31.324,6.586,6.028,0.0262,0.4427,230.288,176.113,0.20422,3.74478,55732.123,0,0,0.9324
P01,137,IMTA,82,12.125762167094216,84895,1029.417,29.592,7.471,31.028,6.549,6.5,0.0502,0.2526,231.656,306.112,0.29736,4.44374,29634.878,0,0,0.9704
P01,138,IMTA,83,12.259074242295224,74934,918.621,30.271,7.41,30.887,6.068,5.217,0.0811,0.2235,232.949,259.395,0.28237,3.94344,17227.054,0,0,0.9997
P01,139,IMTA,84,12.547847410072853,79478,997.278,27.276,7.532,29.768,6.416,5.878,0.0591,0.4172,234.173,159.265,0.1597,4.25873,25017.937,0,0,1.0491
P01,140,IMTA,85,12.622132965712865,76737,968.585,29.397,7.516,30.423,6.08,6.059,0.0696,0.37,235.328,269.539,0.27828,4.11589,20261.356,0,0,0.9894
P01,141,IMTA,86,12.46465112446405,70617,880.216,29.015,7.41,30.221,5.9,5.032,0.0772,0.0566,236.42,297.937,0.33848,3.72311,17836.881,0,0,1.012
P01,142,IMTA,87,12.343011744123583,70543,870.713,27.268,7.41,30.526,5.616,4.993,0.0265,0.3224,237.449,251.726,0.2891,3.66694,48562.411,0,0,1.0714
P01,143,IMTA,88,12.910247679848743,76991,993.973,27.0,7.509,31.6,5.934,5.356,0.0729,0.1394,238.421,168.593,0.16962,4.16899,19134.94,0,0,1.0038
P01,144,IMTA,89,13.156838690410606,87407,1150.0,29.566,7.41,30.528,6.358,6.26,0.0137,0.0633,239.336,193.009,0.16783,4.80496,103488.098,0,0,1.0233
P01,145,IMTA,90,12.657916425612221,76921,973.66,28.679,7.484,30.877,6.079,5.588,0.0438,0.2744,240.199,171.014,0.17564,4.05356,32600.605,0,0,1.0356
P01,146,IMTA,91,13.002063145067467,85300,1109.076,29.545,7.415,31.6,6.318,6.212,0.0142,0.3662,241.011,205.723,0.18549,4.60177,100052.862,0,0,1.0545
P01,147,IMTA,92,12.955949920839142,72701,941.911,28.558,7.41,30.505,6.555,5.867,0.0579,0.307,241.775,265.334,0.2817,3.89581,26915.812,0,0,1.0752
P01,148,IMTA,93,13.2621538872589,86594,1148.423,27.965,7.41,30.765,5.629,4.876,0.027,0.2407,242.494,344.169,0.29969,4.73587,48810.321,0,0,1.0404
P01,149,IMTA,94,12.890906084188169,80313,1035.307,31.0,7.641,31.037,5.577,5.014,0.0137,0.313,243.171,345.331,0.33355,4.25753,91953.508,0,0,1.1942
P01,150,IMTA,95,13.1619595361497,85384,1123.821,31.0,7.639,29.871,6.236,5.432,0.0426,0.0614,243.807,164.922,0.14675,4.60948,34907.76,0,0,1.1325
P01,151,IMTA,96,13.869258781806614,74613,1034.827,29.195,7.41,30.58,6.1,5.467,0.0688,0.2915,244.404,253.578,0.24504,4.23408,21366.823,0,0,1.181
P01,152,IMTA,97,13.995995573487882,82166,1149.995,30.694,7.41,29.636,6.225,5.727,0.0875,0.1507,244.965,315.324,0.2742,4.69452,17234.472,0,0,1.0324
P01,153,IMTA,98,14.0,82142,1149.988,30.435,7.656,31.251,5.764,5.062,0.0868,0.2614,245.492,225.993,0.19652,4.68442,16114.956,0,0,1.1172
